Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Latitude,Longitude
271363,"December 29, 2014",Louisiana,New Orleans,Poydras and Bolivar,0,4,0,0,0,,29.9542981,-900839102.0
269679,"December 27, 2014",California,Los Angeles,8800 block of South Figueroa Street,1,3,0,0,0,,0.3395718,-0.1182825
270036,"December 27, 2014",California,Sacramento,4000 block of May Street,0,4,0,0,0,,38.6404106,-12.1443272
269167,"December 26, 2014",Illinois,East St. Louis,2500 block of Summit Avenue,1,3,0,0,0,,38.6196187,-90.1254295
268598,"December 24, 2014",Missouri,Saint Louis,18th and Pine,1,3,0,0,0,,38.6304582,-90.2059719
267792,"December 23, 2014",Kentucky,Winchester,260 Oxford Dr,1,3,0,0,2,,380035783.9999999,-84.2094759
268282,"December 22, 2014",Michigan,Detroit,Charlevoix and Philip,1,3,0,0,0,,423835951.9999999,-829486611.9999999
282186,"December 22, 2014",New York,Webster,191 Lake Rd,3,2,1,0,0,,43.2367011,-77.5253783
267721,"December 22, 2014",Illinois,Chicago,5700 block of South Green Street,0,5,0,0,0,,0.4179049,-8.7646624
266570,"December 21, 2014",Florida,Sarasota,4034 N Washington Blvd,2,2,0,0,0,,27.3688478,-825299716.9999999
268910,"December 21, 2014",Mississippi,Waynesboro,Central Avenue,1,4,0,0,2,,31.6782332,-88.6584091
266424,"December 21, 2014",Illinois,Calumet City,600 block of Escanba,1,8,0,0,0,,41.6180821,-8.7553163
266407,"December 20, 2014",Illinois,Rockford,3200 block of Montrose Avenue,4,0,0,0,1,,42.2938571,-89.1071791
264901,"December 16, 2014",New Jersey,Elizabeth,Anna Street,0,4,0,0,0,,4.0668426,-74.2032351
263556,"December 15, 2014",Pennsylvania,Lansdale,100 block of West 5th St,6,0,1,0,0,,40.2459256,-75.2819669
263376,"December 14, 2014",Florida,Miami,1311 Northwest 2nd Avenue,1,4,0,0,0,,25.7871407,-80.1984688
263382,"December 13, 2014",Florida,Tampa,810 E. Skagway Ave.,0,5,0,0,0,,28.0324324,-824524297.9999999
262202,"December 12, 2014",Oregon,Portland,717 North Killingsworth Court,0,4,0,0,3,,45.5620252,-122.6742858
259935,"December 7, 2014",Indiana,South Bend,16000 block of Roosevelt Road,0,4,0,0,0,,415900539.9999999,-86.1812968
227011,"December 2, 2014",Missouri,Saint Louis,6000 block of Virginia Avenue,1,3,0,2,0,,3.8561641,-90.2492382
226983,"December 2, 2014",Virginia,Newport News,6128 Jefferson Ave ,0,5,0,0,0,,37.0232336,-764461635.9999999
226534,"November 30, 2014",Tennessee,Chattanooga,2412 East 13th Street ,0,5,0,0,0,,35.0246967,-852711212.9999999
226388,"November 30, 2014",New York,Brooklyn,375 Remsen Avenue,0,4,0,0,0,,40.6564708,-73.9236281
226150,"November 29, 2014",New Jersey,Newark,348 S Orange Ave,1,3,0,0,0,,40.7398404,-74.1999668
225903,"November 29, 2014",Georgia,Atlanta,1600 block of Richmond Avenue,3,2,0,0,0,,33.7100097,-843798669.0000001
225830,"November 28, 2014",Tennessee,Memphis,1849 East Brooks Road ,0,4,0,0,0,,35.0604544,-90.0021517
226018,"November 27, 2014",Texas,Georgetown,Pvt Rd 934,2,3,0,0,0,,30.6777088,-9.7592544
225036,"November 26, 2014",California,San Francisco,Mission and 13th streets,0,6,0,0,0,,37.7701286,-122.4199406
224362,"November 23, 2014",Virginia,Parksley,Parksley Road,0,4,0,0,0,,37.7789204,-75.6464828
224131,"November 23, 2014",Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,0,0,0,,3.9742746,-10.5025229
223651,"November 22, 2014",Ohio,Cleveland,1443 E 92nd St,4,1,0,0,1,,4.1516892,-81.6231565
223799,"November 22, 2014",South Dakota,Sisseton,Fourth Avenue,3,1,1,0,0,,45.6641114,-97.0560985
223729,"November 22, 2014",Ohio,Springfield,Clifton Avenue and Rice Street,1,3,0,0,0,,39.9095886,-83.8077328
223582,"November 21, 2014",Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,0,0,0,,0.4038793,-799078284.0000001
222792,"November 19, 2014",Illinois,Chicago,700 block of North St. Louis Avenue,1,3,0,0,0,,41.8936596,-877138246.9999999
222393,"November 18, 2014",Nevada,North Las Vegas,Englestad Street,0,4,0,0,0,,36.2103795,-115.1473473
221554,"November 16, 2014",Ohio,Akron,1891 E Market St,1,4,0,0,1,,4.1061734,-814602379.9999999
224746,"November 16, 2014",Texas,El Paso,115 S. Durango,0,5,0,1,0,,31.7618778,-106.4850217
221347,"November 15, 2014",Missouri,Springfield,2555 N. Glenstone,4,0,0,0,1,,37.2436912,-93.2623309
221577,"November 15, 2014",Florida,Miami,NW 55th and 12th,1,3,0,0,0,,25.8254451,-80.2172815
217831,"November 8, 2014",California,Pomona,499 E. Arrow Highway,0,5,0,0,0,,34.0906446,-117.7421478
218054,"November 7, 2014",California,Los Angeles,East 126th Street and North Compton Avenue,0,4,0,0,0,,33.9184883,-118.2462314
217401,"November 7, 2014",California,Compton,136th Street ,0,4,0,0,0,,33.9081202,-118.2466953
