Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Latitude,Longitude
271363,"December 29, 2014",Louisiana,New Orleans,Poydras and Bolivar,0,4,0,0,0,,29.9542981,-90.08391019999999
269679,"December 27, 2014",California,Los Angeles,8800 block of South Figueroa Street,1,3,0,0,0,,33.95718,-118.2825
270036,"December 27, 2014",California,Sacramento,4000 block of May Street,0,4,0,0,0,,38.6404106,-121.443272
269167,"December 26, 2014",Illinois,East St. Louis,2500 block of Summit Avenue,1,3,0,0,0,,38.6196187,-90.1254295
268598,"December 24, 2014",Missouri,Saint Louis,18th and Pine,1,3,0,0,0,,38.6304582,-90.2059719
267792,"December 23, 2014",Kentucky,Winchester,260 Oxford Dr,1,3,0,0,2,,38.00357839999999,-84.2094759
268282,"December 22, 2014",Michigan,Detroit,Charlevoix and Philip,1,3,0,0,0,,42.38359519999999,-82.94866119999999
282186,"December 22, 2014",New York,Webster,191 Lake Rd,3,2,1,0,0,,43.2367011,-77.5253783
267721,"December 22, 2014",Illinois,Chicago,5700 block of South Green Street,0,5,0,0,0,,41.79049,-87.646624
266570,"December 21, 2014",Florida,Sarasota,4034 N Washington Blvd,2,2,0,0,0,,27.3688478,-82.52997169999999
268910,"December 21, 2014",Mississippi,Waynesboro,Central Avenue,1,4,0,0,2,,31.6782332,-88.6584091
266424,"December 21, 2014",Illinois,Calumet City,600 block of Escanba,1,8,0,0,0,,41.6180821,-87.553163
266407,"December 20, 2014",Illinois,Rockford,3200 block of Montrose Avenue,4,0,0,0,1,,42.2938571,-89.1071791
264901,"December 16, 2014",New Jersey,Elizabeth,Anna Street,0,4,0,0,0,,40.668426,-74.2032351
263556,"December 15, 2014",Pennsylvania,Lansdale,100 block of West 5th St,6,0,1,0,0,,40.2459256,-75.2819669
263376,"December 14, 2014",Florida,Miami,1311 Northwest 2nd Avenue,1,4,0,0,0,,25.7871407,-80.1984688
263382,"December 13, 2014",Florida,Tampa,810 E. Skagway Ave.,0,5,0,0,0,,28.0324324,-82.45242979999999
